Change Component Footprint: Designator=D3 Old Footprint=LED_RED_0805 New Footprint=LED_GREEN_0805
Change Component Comment : Designator=D3 Old Comment=Red New Comment=Green
Change component parameters: Designator = "D3"; Footprint = "LED_GREEN_0805"; UniqueID = "\AWSGEGYR"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "284618"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "160-1423-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Test Current"; Value = "10mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Viewing Angle"; Value = "130°"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wavelength"; Value = "585nm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.25mm"; VariantName = "[No Variations]"
Added Member To Class: ClassName=LightOnOff Member=Component C1 220uF/50V
Added Room: Name=LightOnOff
